Dataset,Time,Raw Score,Percent Score,Temperature,Light,Battery Voltage
Ex_04,2024-11-13 21:30:00,-0.9292857142857143,3.5357142857142847,21.372142857142855,0.0,3.93
Ex_04,2024-11-13 21:45:00,-0.16357142857142856,41.82142857142857,21.485714285714288,0.008571428571428572,3.93
Ex_04,2024-11-13 22:00:00,-0.6166666666666666,19.16666666666667,21.649166666666662,0.008333333333333333,3.93
Ex_04,2024-11-13 22:15:00,-0.5657142857142857,21.714285714285715,21.69357142857143,0.0,3.93
Ex_04,2024-11-13 22:30:00,-0.9066666666666667,4.666666666666664,21.655,0.008333333333333333,3.93
Ex_04,2024-11-13 22:45:00,-0.5828571428571429,20.857142857142858,21.591428571428573,0.0,3.93
Ex_04,2024-11-13 23:00:00,-1.0,0.0,21.393333333333327,0.005333333333333333,3.9300000000000006
Ex_04,2024-11-13 23:15:00,-0.8657142857142857,6.714285714285715,21.421428571428567,0.01,3.93
Ex_04,2024-11-13 23:30:00,-0.3323076923076923,33.38461538461539,21.63230769230769,0.01,3.93
Ex_04,2024-11-13 23:45:00,-0.3776923076923077,31.115384615384613,21.77615384615385,0.0,3.93
Ex_04,2024-11-14 00:00:00,-0.5357142857142858,23.214285714285708,21.94214285714286,0.0,3.93
Ex_04,2024-11-14 00:15:00,-0.32285714285714284,33.85714285714286,22.020714285714284,0.0071428571428571435,3.93
Ex_04,2024-11-14 00:30:00,-0.26,37.0,22.062857142857144,0.0,3.93
Ex_04,2024-11-14 00:45:00,-0.5661538461538461,21.692307692307693,21.997692307692304,0.0,3.93
Ex_04,2024-11-14 01:00:00,-0.03307692307692309,48.34615384615385,21.811538461538458,0.0,3.93
Ex_04,2024-11-14 01:15:00,-0.6028571428571429,19.857142857142858,21.634285714285713,0.0,3.93
Ex_04,2024-11-14 01:30:00,-1.0,0.0,21.44857142857143,0.0,3.93
Ex_04,2024-11-14 01:45:00,-1.0,0.0,21.361538461538462,0.0,3.93
Ex_04,2024-11-14 02:00:00,-1.0,0.0,21.292142857142853,1.195,3.93
Ex_04,2024-11-14 02:15:00,-1.0,0.0,21.256153846153843,2.725384615384615,3.93
Ex_04,2024-11-14 02:30:00,-1.0,0.0,21.249285714285715,2.7042857142857146,3.93
Ex_04,2024-11-14 02:45:00,-1.0,0.0,21.233076923076922,2.6753846153846155,3.93
Ex_04,2024-11-14 03:00:00,-0.8471428571428571,7.642857142857146,21.284285714285716,2.6692857142857136,3.93
Ex_04,2024-11-14 03:15:00,-1.0,0.0,21.32923076923077,2.6576923076923076,3.93
Ex_04,2024-11-14 03:30:00,-1.0,0.0,21.337857142857136,2.6942857142857144,3.93
Ex_04,2024-11-14 03:45:00,-1.0,0.0,21.38230769230769,2.6815384615384614,3.93
Ex_04,2024-11-14 04:00:00,-1.0,0.0,21.41538461538462,2.6969230769230768,3.93
Ex_04,2024-11-14 04:15:00,-0.8285714285714285,8.571428571428577,21.45642857142857,2.6121428571428575,3.93
Ex_04,2024-11-14 04:30:00,-0.9123076923076923,4.384615384615387,21.532307692307693,2.740000000000001,3.93
Ex_04,2024-11-14 04:45:00,-1.0,0.0,21.628461538461536,2.713076923076924,3.93
Ex_04,2024-11-14 05:00:00,-1.0,0.0,21.69,2.740000000000001,3.93
Ex_04,2024-11-14 05:15:00,-1.0,0.0,21.73714285714286,2.740000000000001,3.93
Ex_04,2024-11-14 05:30:00,-1.0,0.0,21.795833333333334,2.7400000000000007,3.93
Ex_04,2024-11-14 05:45:00,-1.0,0.0,21.802857142857146,2.740000000000001,3.9257142857142857
Ex_04,2024-11-14 06:00:00,-1.0,0.0,21.77307692307692,2.740000000000001,3.926153846153846
Ex_04,2024-11-14 06:15:00,-1.0,0.0,21.722142857142853,2.690000000000001,3.93
